Midascontactid,Createdat,Emailpermissionstatus,Cont.Acq.Src,Email.Src.First,Segment,Segmentsecondary,Email.Acq.Dt,Email.Pref.Ch.Dt,Entry.Point.List,Cont.Acq.Src2,Cont.Acq.Dte,Prod.Buy.Last,Prod.Buy.First,Prod.Buy.Accessories,Prod.Buy.All.In.One.Desktop,Prod.Buy.Desktop,Prod.Buy.Idc,Prod.Buy.Idpd,Prod.Buy.Laptop,Prod.Buy.Servers,Prod.Buy.Software,Prod.Buy.Thnkc,Prod.Buy.Thnkp,Prod.Buy.Warranties,Prod.Buy.Workstation,Prod.Buy.Android.Tablet,Prod.Buy.Windows.Tablet,Prod.Buy.Convertible,Prod.Buy.Android.Os,Prod.Buy.Gaming,Prod.Buy.Windows.Os,Prod.Buy.Gaming.Related,Country,Eml.Sent.Num,Eml.Sent.First.Ts,Eml.Sent.Last.Ts,Eml.Open.Num,Eml.Open.First.Ts,Eml.Open.Last.Ts,Eml.Click.Num,Eml.Click.First.Ts,Eml.Click.Last.Ts,Eml.Bounce.Last.Ts,Eml.Unsub.Last.Ts,Eml.Spam.Last.Ts,Email.Domain,Em.Pref.Status,Em.Pref.Dte,Invalid.Email.Dte,Em.Spamclplt.Dte
1020375449,23/04/2019,I,LIDUAS16,OOBWIN15,CON,,22/04/2019,24/08/2019,|LIDUAS1608|OOBAND1407|OOBWIN1506|,LIDUAS16,03/03/2017,24/08/2019,22/04/2019,NA,22/04/2019,NA,22/04/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,228,03/03/2017,20/02/2020,41,11/03/2017,17/02/2020,1,21/08/2019,21/08/2019,NA,NA,NA,gmail.com,I,24/08/2019,NA,NA
1042778096,16/10/2019,U,OOBWIN15,,CON,,NA,15/10/2019,|OOBWIN1506|,OOBWIN15,15/10/2019,15/10/2019,15/10/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/10/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,2,25/11/2019,24/12/2019,0,NA,NA,0,NA,NA,NA,NA,NA,hotmail.com,U,15/10/2019,NA,NA
1039527195,29/07/2019,I,NETMINNG,NETMINNG,CON,,29/07/2019,30/07/2019,|HYBRIS1506|IGNONE20121024|SAPCRMSHIP120501|,NETMINNG,29/07/2019,30/07/2019,30/07/2019,NA,NA,NA,NA,30/07/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,121,29/07/2019,20/02/2020,4,29/07/2019,17/02/2020,0,NA,NA,NA,NA,NA,hotmail.com,I,30/07/2019,NA,NA
1008356168,29/11/2019,I,EPI2,EPI2,CON,,04/11/2015,29/11/2019,|HYBRIS1506|LENI2|OOBWIN1407|OOBWIN1506|RI6 PERMISSION|,EPI2,04/11/2015,29/11/2019,26/07/2016,NA,NA,26/07/2016,NA,29/11/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,15,29/11/2019,13/01/2020,2,28/07/2016,06/08/2016,2,28/07/2016,06/08/2016,NA,03/11/2016,NA,gmail.com,I,29/11/2019,NA,NA
1038164470,30/04/2019,U,OOBWIN15,,CON,,NA,29/04/2019,|OOBWIN1506|,OOBWIN15,29/04/2019,29/04/2019,29/04/2019,NA,NA,29/04/2019,NA,NA,NA,NA,NA,29/04/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,20,30/04/2019,24/05/2019,1,01/05/2019,26/05/2019,1,26/05/2019,26/05/2019,NA,NA,NA,hotmail.com,U,29/04/2019,NA,NA
1041467900,06/09/2019,U,OOBWIN15,,CON,,NA,05/09/2019,|OOBWIN1506|,OOBWIN15,05/09/2019,05/09/2019,05/09/2019,NA,NA,NA,NA,05/09/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,6,06/09/2019,24/12/2019,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,U,05/09/2019,NA,NA
1044033221,05/12/2019,I,CROWDS19,CROWDS19,CON,,04/12/2019,06/01/2020,|CROWDS1902|HYBORD1502|HYBRIS1506|SAPCRMSHIP120501|,CROWDS19,04/12/2019,07/12/2019,05/12/2019,NA,NA,NA,NA,07/12/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,34,07/12/2019,06/02/2020,9,07/12/2019,06/02/2020,0,NA,NA,NA,NA,NA,danmarkcom.com,I,04/12/2019,NA,NA
1042279121,27/09/2019,U,OOBWIN15,,CON,,NA,26/09/2019,|OOBWIN1506|,OOBWIN15,26/09/2019,26/09/2019,26/09/2019,NA,NA,NA,NA,26/09/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,9,25/11/2019,08/01/2020,2,24/12/2019,06/01/2020,0,NA,NA,NA,NA,NA,dukes.jmu.edu,U,26/09/2019,NA,NA
1042888581,20/10/2019,I,OOBWIN15,OOBWIN15,CON,,20/10/2019,20/10/2019,|OOBWIN1506|,OOBWIN15,20/10/2019,20/10/2019,20/10/2019,NA,20/10/2019,NA,20/10/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,34,20/10/2019,21/01/2020,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,I,20/10/2019,NA,NA
1044821651,22/12/2019,U,OOBWIN15,,CON,,NA,21/12/2019,|OOBWIN1506|,OOBWIN15,21/12/2019,21/12/2019,21/12/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/12/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,U,21/12/2019,NA,NA
